index,label,text
0,smish,There is an issue with your Sonali Bank account. Call: +8801818788890
1,smish,Earn profits with crypto investment! Start today: http://bit.ly/CryptoInvest
2,promo,"Special deal last day, 30GB @300TK, 30 days! Get it today- cutt.ly/jwkuSC76"
3,promo,Mega furniture sale! 15-30% discount on all products. Visit today.
4,smish,Your bank card needs immediate updating. Click here: [verifybankcard.com/UpdateBD]
5,promo,"40TK cashback! 46GB @458TK, 30 days, get it now: cutt.ly/GwWYCCfJ"
6,smish,Place bets at casino today and win a luxury trip! Join: smilesvoegol.servebbs.org/voegol.php
7,promo,Special discount for new customers. Register today.
8,promo,10% discount on all DVDs. Limited time offer.
9,promo,"Hotshot 20TK cashback! Hotspot deal 22GB@177TK, 7 days: cutt.ly/pw746B4G"
10,promo,"80TK cashback! More data 30GB@319TK, 30 days cutt.ly/aw59tNYD"
11,smish,Your account has been temporarily deactivated. Click here to activate: [accountactivate.com/ActivateBD]
12,promo,<#> Your MyGP PIN is: 4283. Use this PIN to verify. Do not forward or share this PIN with anyone FyXTPoy9ZDa
13,promo,Special offer for new customers! 30% discount on our services.
14,promo,Residential plots near Dhaka-Mawa Expressway starting from 2 lakh. 01894939231
15,smish,Your number has won a prize. Call for details +8801713344556
16,normal,Happy birthday!
17,normal,"Have you read any books before? Yes, I've read many books. What about you?"
18,promo,25% discount on new lifestyle products! Take advantage before stock runs out.
19,promo,Today and tomorrow flat 50% discount at all Mens World branches cutt.ly/fmw
20,promo,"35GB+800mins-600TK-30days (with bonus), get *121*5262# or mygp.li/a8"
21,promo,15% discount on fitness equipment! Order today.
22,normal,How is your family doing?
23,normal,How is your day going?
24,smish,You've won 3 vori of gold! Call for details: +8801716677889
25,normal,How are you friends?
26,normal,Good morning!
27,promo,26 January 2024 International Customs Day is being celebrated. This year's theme is 'New and old stakeholders together/Customs will achieve goals'. National Board of Revenue
28,smish,Assalamualaikum! Do you want to earn money from home without any investment? Then work with our bot. You can earn without any investment. Bot link: https://t.me/free_online_income_24bot
29,promo,Up to 20% discount on online shopping! Use the code to avail.
30,normal,What's new with you?
31,smish,Suspicious activity detected in your account. Login to verify: [accountverify.com/VerifyBD]
32,normal,What are you doing today?
33,promo,Flat 10% discount storewide. Code: FLAT10. Online only.
34,normal,Getting a new house at home.
35,normal,"Success will come to you, be patient."
36,promo,10% discount on all DVDs. Limited time offer.
37,smish,2 crore taka deposited in your bank account! Confirm by calling: +8801917677789
38,smish,"*Work from home form filling job. *Fill 5 forms for 510TK, *Our company is hiring. *Education: Just need to read Bengali *Must have WhatsApp. *Salary: 8000-18000TK"
39,promo,Bonus offer: 7GB-130TK-30days. Dial *121*5469# or visit mygp.li/mo
40,normal,What will you eat? Meat curry is being cooked today. You?
41,smish,Win a cricket bat signed by Shakib! Place bets on cricket! Click: xini.eu/00Qe
42,smish,Your mobile number has won a high-end laptop! Call to claim prize: +8801819900012
43,normal,I feel like I can't say anything.
44,promo,"5GB+150mins 130TK (30days), Dial *121*5205# or https://mygp.li/a0"
45,normal,"You can do it, just keep at it."
46,smish,"Urgent. Post Name: FPO & Branch Accountant. Your Exam Date:04/05/24 (Saturday). Time:09:00 AM. Venue: Sylhet Zone Office. Bring 2 passport photos, CV, manual job application (in Bengali), referral form (if any), NID photocopy, attested copies of original certificates. Address: Baitul Jannat Jame Masjid opposite, Shahjalal Upashahar Main Road. Contact:01322-80351. Apply to: Deputy Director, HR Department, Head Office, Ring Road, Adabor Dhaka 1207."
47,smish,Click here to update your insurance policy: [insuranceupdate.com/UpdateBD]
48,normal,Are you with family?
49,smish,"You have been selected for part-time/full-time online job. Very easy work, no time limit, can be done from home, daily salary 1000-5000TK, contact job manager on WhatsApp: https://wa.me/8801320862219"
50,promo,"125TK cashback best offer 61GB+1000mins@774TK, 30days: cutt.ly/8wBQC0MC"
51,smish,For stipend of 4200 TK contact: 01320660547 Education Board
52,normal,"Never hurt someone you love out of anger. Don't ignore loved ones in anger, or you may lose life's most precious thing - the person you love."
53,normal,How are you feeling today? I'm fine. How about you?
54,smish,Call +8801815566778 to renew your car insurance
55,normal,What's the plan for today?
