index,label,text
0,smish,"Sonali Bank account e somossa hoyeche. Kol korun: +8801818788890"
1,smish,"Crypto binimoye labhban hon! Ajii shuru korun: http://bit.ly/CryptoInvest"
2,promo,"Special deal shesh din, 30GB @300Tk, 30din! Ajii nao- cutt.ly/jwkuSC76"
3,promo,"Furniture e mega sale! Shob pnoye 15-30% discount. Ajii visit korun."
4,smish,"Apnar bank card ti obilombhe update korun. Ekhane click korun: [verifybankcard.com/UpdateBD]"
5,promo,"40Tk cashback! 46GB @458Tk, 30din, nie nao akhonii: cutt.ly/GwWYCCfJ"
6,smish,"Ajii casino te baji dharun ebong ekta bilashbohul trip jitin! Join korun: smilesvoegol.servebbs.org/voegol.php"
7,promo,"Notun customer der jonno special discount. Ajii register korun."
8,promo,"Shob DVD te 10% discount. Offer ti simit somoyer jonno."
9,promo,"Hotshot cashback 20Tk! Hotspot deal e 22GB@177Tk, 7din: cutt.ly/pw746B4G"
10,promo,"80Tk cashback e beshi beshi data 30GB@319Tk, 30din cutt.ly/aw59tNYD"
11,smish,"Apnar account ti somoyikvabe nishkriyo kora hoyeche. Shokrito korte ekhane click korun: [accountactivate.com/ActivateBD]"
12,promo,"<#> Apnar MyGP pin (code) hocche: 4283. Verify korte ei pin ti use korun. Opobohar thekan ei pin ti forward othoba karor sathe share korben na FyXTPoy9ZDa"
13,promo,"Notun grahok der jonno special offer! Amader service e 30% discount."
14,promo,"Dhaka-Mawa Expressway songlogno abasik plot katha nimno 2lakh 01894939231"
15,smish,"Apnar number ti puraskar jiteche. Bistrito jante kol korun +8801713344556"
16,normal,"Shubho jonmodin!"
17,normal,"Tomar age kono boi porecho? Hae, onek boi porchi. Tumi ki?"
18,promo,"Notun lifestyle product e 25% discount! Stock shesh howar age sujog nin."
19,promo,"Aj o kal Mens World er shob shakhay flat 50% discount cutt.ly/fmw"
20,promo,"35GB+800min-600Tk-30din(bonus soho), nite *121*5262# othoba mygp.li/a8"
21,promo,"Fitness equipment e 15% discount! Ajii order korun."
22,normal,"Kemon achho tomar paribar?"
23,normal,"Tomader din kemon katche?"
24,smish,"Apni 3 bhori sona jitechen! Bistrito jante kol korun: +8801716677889"
25,normal,"Bondhura kemon achho?"
26,normal,"Shubho probhat!"
27,promo,"26 January 2024 international customs dibosh udjaponito hocche. Ebarer protipadok bishoy ''mile nobin-purono ongshijon/customs korbe lokkho orjon''. Jatio rajsho board"
28,smish,"Assalamualaikum! Apni ki bari te boshe kono taka investment na kore taka income korte chan? Tahole amader bot e kaj korun. Amader bot e apni kono investment chara income korte parben. Bot link: https://t.me/free_online_income_24bot"
29,promo,"Online shopping e 20% porjonto discount! Code use kore subidha nin."
30,normal,"Ki khobor tomader?"
31,smish,"Apnar account e shondhojonok karijkolap hoyeche. Login kore jachai korun: [accountverify.com/VerifyBD]"
32,normal,"Ajk ki korchho?"
33,promo,"Flat 10% discount shara store e. Code: FLAT10. Shudhumatro online e."
34,normal,"Bari te ekta notun bari pacche."
35,normal,"Shafollota tomar dike ashbe, dhairjo dharo."
36,promo,"Shob DVD te 10% discount. Offer ti simit somoyer jonno."
37,smish,"Apnar bank account e 2 koti taka joma hoyeche! Nischito korte kol korun: +8801917677789"
38,smish,"*Bari te boshe form fillup er kaj. * 5ta form fillup 510 taka, amader company te kichhu lok neoya hocche. *Shikkhagotto joggota: Bangla porate parleii hobe *Phone e WhatsApp thakte hobe. *Beton: 8000-18000 taka"
39,promo,"Bonus soho 7GB-130Tk-30din. Nite dial *121*5469# othoba visit mygp.li/mo"
40,normal,"Ki khabe? Aj mangshor ranna hocche. Tumi?"
41,smish,"Shakib er soi kora ball jitte cricket e baji din! Click korun: xini.eu/00Qe"
42,smish,"Apnar mobile number ti high-end laptop jiteche! Puraskar pete kol korun +8801819900012"
43,normal,"Ami jeno kichhu bolte pari na."
44,promo,"5GB+150min 130Tk (30din), dial *121*5205# othoba https://mygp.li/a0"
45,normal,"Tumi parbe, shudhu lege thako."
46,smish,"Uddipon. Post Name: FPO & Branch Accountant. Your Exam Date: 04/05/24 (Saturday). Time: 09:00 AM (sokal). sthan: Sylhet zone office. Sathe dui copy passport size er chobi, CV, manual chakrir abedon (Banglay), chakri prothir referral form (jodi thake), NID er photocopy, mul sonadpotro er photocopy sothayito o mul sonadpotro sathe nie ashben. Uddipon Sylhet zoner thikana: Bari nam: Shobhashrom, bari number: 2/1, J block, Shahjalal uposhohor main road, Baitul Jannat Jame mosque er biporite. Khelar math er songlogno/upo police commissioner office er kache. Proyojone: 01322-80 3512. Abedon korben evabe, Borobor, Upo-nirbok o prodhan manushshompod o byabosthapona bibhag, Uddipon prodhan karkhana, Ring Road, Adabor Dhaka 1207."
47,smish,"Apnar insurance policy update korte ekhane click korun: [insuranceupdate.com/UpdateBD]"
48,normal,"Tumi ki paribar er sathe achho?"
