index,label,text
0,smish,সোনালী Bank account-এ problem হয়েছে। Call করুন: +8801818788890
1,smish,Crypto investment-এ profit করুন! Start today: http://bit.ly/CryptoInvest
2,promo,"Special deal শেষ দিন,৩০GB @৩০০TK,৩০দিন! Get now- cutt.ly/jwkuSC76"
3,promo,Furniture-এ mega sale! সব product-এ ১৫-৩০% discount। Visit today।
4,smish,আপনার Bank card urgently update করুন। Click here: [verifybankcard.com/UpdateBD]
5,promo,"৪০TK cashback! ৪৬GB @৪৫৮TK, ৩০days, get now: cutt.ly/GwWYCCfJ"
6,smish,আজই casino-তে bet করুন আর luxury trip জিতুন! Join: smilesvoegol.servebbs.org/voegol.php
7,promo,New customers-এর জন্য special discount। Register today।
8,promo,All DVD-তে ১০% discount। Limited time offer।
9,promo,"Hotshot cashback ২০TK! Hotspot deal ২২GB@১৭৭TK, ৭days: cutt.ly/pw746B4G"
10,promo,"৮০TK cashback-এ extra data ৩০GB@৩১৯TK, ৩০days cutt.ly/aw59tNYD"
11,smish,আপনার account temporarily blocked করা হয়েছে। Unlock করুন: [accountactivate.com/ActivateBD]
12,promo,<#> আপনার MyGP PIN (code): 4283. Verify করতে use করুন. Don't share FyXTPoy9ZDa
13,promo,New customers-এর জন্য special offer! Our service-এ ৩০% discount।
14,promo,"ঢাকা-Mawa Expressway-সংলগ্ন plot মাত্র ২lakh 01894939231"
15,smish,আপনার number prize জিতেছে! Details: +8801713344556
16,normal,শুভ জন্মদিন!
17,normal,"তোমার আগে কোনো book পড়েছ? হ্যাঁ, অনেক book পড়েছি। তুমি?"
18,promo,New lifestyle product-এ ২৫% off! Stock শেষ হওয়ার আগে grab করুন।
19,promo,"আজ ও কাল Men's World-এ flat ৫০% discount cutt.ly/fmw"
20,promo,"৩৫GB+৮০০min-৬০০TK-৩০days(bonus সহ), dial *১২১*৫২৬২# বা mygp.li/a8"
21,promo,Fitness equipment-এ ১৫% discount! Order now।
22,normal,কেমন আছে তোমার family?
23,normal,তোমাদের day কেমন যাচ্ছে?
24,smish,আপনি ৩ vori gold জিতেছেন! Claim করুন: +8801716677889
25,normal,বন্ধুরা কেমন আছ?
26,normal,শুভ প্রভাত!
27,promo,২৬ January ২০২৪ International Customs Day theme: "মিলে নবীন-পুরনো অংশীজন/Customs will achieve targets"। NBR
28,smish,"আসসালামুআলাইকুম!

Home-এ বসে investment ছাড়া income চান?
আমাদের bot-এ join করুন। No investment needed।

Bot link: https://t.me/free_online_income_24bot"
29,promo,Online shopping-এ ২০% discount! Use code now।
30,normal,কি খবর?
31,smish,আপনার account-এ suspicious activity detected। Verify now: [accountverify.com/VerifyBD]
32,normal,আজকে কি করছ?
33,promo,Flat ১০% discount entire store। Code: FLAT10। Online only।
34,normal,বাড়িতে new house নিচ্ছে।
35,normal,"Success আসবে, patience রাখো।"
36,promo,All DVD-তে ১০% off। Limited period।
37,smish,আপনার Bank account-এ ২ crore deposited! Confirm: +8801917677789
38,smish,"*Home-এ বসে form fillup কাজ। 
* ৫ form = ৫১০TK, 
আমাদের company-তে hiring চলছে। 
*Qualification: বাংলা পড়তে পারলেই হবে 
*WhatsApp থাকতে হবে। 
*Salary: ৮০০০-১৮০০০TK"
39,promo,Bonus সহ ৭GB-১৩০TK-৩০days। Dial *১২১*৫৪৬৯# বা visit mygp.li/mo
40,normal,কি খাবে? আজ meat রান্না হচ্ছে। তুমি?
41,smish,Shakib-এর signed ball জিতুন! Bet now: xini.eu/00Qe
42,smish,আপনার mobile number-এ laptop জিতেছেন! Claim: +8801819900012
43,normal,আমি কিছু বলতে পারছি না।
44,promo,"৫GB+১৫০min ১৩০TK (৩০days), dial *১২১*৫২০৫# বা https://mygp.li/a0"
45,normal,"তুমি পারবে, just try করো।"
46,smish,"Uddipan।Post: FPO & Branch Accountant। Exam: ০৪/০৫/২৪ (Saturday)। Time: ০৯:০০ AM। Venue: Sylhet Zone Office। Documents: ২ copy photo, CV, application, NID copy, certificates। Address: Shobhashram, ২/১,J block, Shahjalal Uposhohor। Contact: ০১৩২২-৮০৩৫১২।"
47,smish,আপনার insurance policy update করুন: [insuranceupdate.com/UpdateBD]
48,normal,তুমি family-এর সাথে আছ?
49,smish,"আপনি online job-এ selected! Work from home, daily salary ১০০০-৫০০০TK, contact: https://wa.me/8801320862219"
50,promo,"১২৫TK cashback! ৬১GB+১০০০min@৭৭৪TK, ৩০days: cutt.ly/8wBQC0MC"
51,smish,"উপবৃত্তির 4200 টাকার জন্য
Contact করুন: 01320660547
শিক্ষা বোর্ড"
52,normal,"রাগ করে কখনো loved one-কে কষ্ট দিতে নেই। রাগ কমিয়ে বেশি ignore করতে নেই, ভালোবাসার মানুষকে। এতে করে life-এর সবচেয়ে valuable জিনিস, loved one-কে হারাতে হয়।"
53,normal,আজ কেমন feel করছ? আমি fine। আপনার কেমন লাগছে?
54,smish,আপনার car insurance renew করতে call করুন +8801815566778
55,normal,আজকের plan কি?
56,promo,Bonus সহ ১GB-৩০TK-৩দিন। Dial *১২১*৫২১৫# বা https://mygp.li/mo
57,promo,"Happy New Year - ২০২৪
Smart banking service-এ সোনালী ব্যাংক
Always আপনার পাশে
Md. Afzal Karim
CEO & MD"
58,normal,কি news?
59,promo,bKash-এ ৫০০০ TK deposit করলে ১০০০ TK bonus! আজই opportunity নিন।
60,normal,"আপনার due ৫০০০/- TK, quickly pay করুন।"
61,smish,আপনার credit score update করতে call করুন +8801715566778
62,promo,Bonus সহ ২GB-৪৫TK-৩দিন। Dial *১২১*৫৫৩৪# বা mygp.li/my
63,promo,"১৫০TK cashback-এ data mixer ৮০GB@৬৯৯TK,৩০দিন: cutt.ly/lwMwLrfw"
64,promo,Bonus সহ ৩GB-৬০TK-৩দিন। Dial *১২১*৫৬৯৯# বা https://mygp.li/mo
65,normal,"কষ্ট পেয়ো না, I'm with you।"
66,normal,কাজ how চলছে?
67,promo,"সর্বকালের greatest বাঙালি জাতির পিতা বঙ্গবন্ধু শেখ মুজিবুর রহমান-এর ৪৭তম shahadat anniversary-তে deep respect""-ডাক ও টেলিযোগাযোগ বিভাগ।"
68,normal,"কি খবর, hi?"
